@Miickass	A dormir con el Goordo	Fri May 01 23:13:42 EDT 2015	-37.01499,-57.139223
@PinalSandra	@DONDEIRweb #Undianubladoenlacasadelsol , ÚLTIMAS 2 FUNCIONES,sábados 21hrs en @ForoShakespeare http://t.co/ngL95DUfw8	Fri May 01 23:15:12 EDT 2015	19.373295,-99.109164
@MilyFurst	Gracias por irme a buscar, los quiero ❤❤	Fri May 01 23:15:14 EDT 2015	-36.677976,-64.388783
@Hayda_Yani	@azmzmr Ayat keling mari mano tau 😒	Fri May 01 23:15:18 EDT 2015	6.139361,102.275075
@BitchIm_FatTrae	@FlossyFlvcko who ??	Fri May 01 23:15:21 EDT 2015	36.87651,-94.867212
+@Gaona5_	Rodriguez es súper intermitente tirando a malo.	Fri May 01 23:15:25 EDT 2015	4.557571,-74.137091
@xxoRiRixxo	“@ObiWillKenobiii: So many questions but so few answers http://t.co/dRmDZ5Z0EP” whatttt is life😭💀😐😵😂😂	Fri May 01 23:15:26 EDT 2015	30.010436,-90.044677
@lyrowj	UFA!!! Finalmente cheguei em casa depois de um dia inteiro fora @ em casa https://t.co/csqxVojp6U	Fri May 01 23:15:28 EDT 2015	-25.578251,-48.569827
@DesyAriyanii	Saraswati🙏😇 (with Dian at Padmasana Politeknik Negeri Bali) — https://t.co/8gOX0wXjrl	Fri May 01 23:15:34 EDT 2015	-8.7996,115.16443
@_charm_princess	#Repost from arianegatienza via Repost App   @_charm_princess @ SM San Pablo https://t.co/GN8MrDOzg7	Fri May 01 23:15:34 EDT 2015	13.95879,121.342984
@Nina94256799	@lewatmana @gpsberjalan klo mau ceger daerah tanggerang naik bus apa	Fri May 01 23:15:37 EDT 2015	-6.258312,106.871277
@MuRRizzLe	@VaughnWhiskey Damnit Vaughn you need to be the master of the tools you have!	Fri May 01 23:15:44 EDT 2015	40.62396,-73.910825
@LEXi_cAn_i22	@rowlandx3 idkk where I am	Fri May 01 23:15:46 EDT 2015	40.252453,-75.452494
@NightshadeArabs	Fooooooooooood (at @NiteOwlOmaha in Omaha, NE) https://t.co/fsxBDAE6PX	Fri May 01 23:15:46 EDT 2015	41.257978,-95.972201
@Sophiarenee10	What a crappy day.	Fri May 01 23:15:51 EDT 2015	26.262612,-98.244734
@KaitlynDavnport	Seeing my family is nice and all but being in tweed for more than a day makes me so thankful that I don't live here anymore #sobored	Fri May 01 23:15:51 EDT 2015	44.54086,-77.322185
@_kauanzera	JUCS 💛💙 (@ Pride Music Bar in Irati, PR) https://t.co/OrpFf441ST	Fri May 01 23:15:52 EDT 2015	-25.468558,-50.649397
@fmml_mrsgn	Boring 😓	Fri May 01 23:15:57 EDT 2015	13.92843,121.104894
@Cheryka_Lubaee	Currently missing my baby terribly . 😭	Fri May 01 23:15:57 EDT 2015	30.699691,-88.08665
@mochmail	At Universitas Islam At-tahiriyah. — https://t.co/nlxVWNscLs	Fri May 01 23:16:01 EDT 2015	-6.22383,106.86363
@abi_dzardahlan	@alfiaks_ sido ora le reuni?	Fri May 01 23:16:16 EDT 2015	-7.825511,110.332041
@NurulSyazanaIzz	@AthirahIzzatie @ImSooUnaaahh @shafeeqz eh betulla mana ade. Pandai eh --"	Fri May 01 23:16:18 EDT 2015	5.914185,100.36845
@demarcogabriela	@rosario_plus chicos! El shopping se inunda siempre q llueve. No es, sólo x la tormenta d hoy. Los desagües están mal hechos desde el día 1.	Fri May 01 23:16:18 EDT 2015	-32.925065,-60.669674
@ulfaadwiy	Selamat Hari Pendidikan Nasional :-)	Fri May 01 23:16:20 EDT 2015	-6.89819,110.676385
@KelllerJordan	Taking the subie up to the peak tonight. This is gonna be interesting.	Fri May 01 23:16:21 EDT 2015	47.056529,-122.814921
@Paulina_rivera_	@0011_vanessa I'm scared something's gonna happen 😪	Fri May 01 23:16:23 EDT 2015	33.882014,-118.079925
@AngieMenendezAM	@AbrahamMateoMus Mañana te vas a volver loco. Fin	Fri May 01 23:16:24 EDT 2015	-1.057688,-80.459799
@pattykake44	@FishWithDan Thank you for the follow!🎣	Fri May 01 23:16:24 EDT 2015	33.483343,-112.023352
@rainaburchett	Boy's with bird beak noses you have a very special place in my heart.	Fri May 01 23:16:26 EDT 2015	33.470783,-111.925731
@iZzzmii	Iyaya wkwk berasa foto ama covdance deket bgt yang "@meyrianalbakir: Enak bgt lu, kaya foto sama covdance. Zzzzzz kzl"@iZzzmii	Fri May 01 23:16:26 EDT 2015	-6.315759,106.838167
@Gusaguayo	Incendio controlado Pedro de Valdivia bajo http://t.co/m1ylXSv619	Fri May 01 23:16:26 EDT 2015	-36.844359,-73.054483
@Raraa_afifah	Selfie bareng mereka hahaha :D @ Alung Swimming Pool Indoor https://t.co/ejQ1fRzXWX	Fri May 01 23:16:29 EDT 2015	-5.364071,105.281595
@Teerz_world	Nice, Mna I'm Lazy To Study n Write My assignment :( @KryzyGwenbby: Just finished my project now...#soundEngineerslife...#teamNoSleep	Fri May 01 23:16:29 EDT 2015	-24.16095,28.98401
@_sasivimon	กว่สขี้จะออกแต่ละก้อน	Fri May 01 23:16:30 EDT 2015	17.403644,102.779999
@NatyNova05	Circo ✌ @ Velez - S/der https://t.co/IldtDeCIa9	Fri May 01 23:16:34 EDT 2015	6.012584,-73.67189
@YaserKTobing	Mona come back!😘 (with Kartika, Aninda, and 2 others at @kfcindonesia) — https://t.co/B2otiotZri	Fri May 01 23:16:35 EDT 2015	-0.50276,117.15196
@DumasKing	@Loren05_  text me I need to talk to you	Fri May 01 23:16:37 EDT 2015	39.146775,-77.207527
@ilhaaam97	"Pendidikan dan Kebudayaan sebagai Gerakan Pencerdasan dan Penumbuhan… (at Komplek Shangri-La Garden) [pic] — https://t.co/nU0soxy48Y	Fri May 01 23:16:37 EDT 2015	1.11363,103.94313
@mqo_opt	吉祥寺アロハフェスやっておる♡ 可愛い～♡すてきだ♡ #フラダンス @ コピス吉祥寺 https://t.co/8Q9Zv3NOw7	Fri May 01 23:16:38 EDT 2015	35.704811,139.579367
@Talitapratas	Ainda bem que eu to indo na academia porque minha mãe me engorda	Fri May 01 23:16:42 EDT 2015	-20.023121,-45.528178
@Drw1999Dre	Five Nights at Freddy's 4 confirmed ("The Final Chapter")! http://t.co/q7T3XiX0ug	Fri May 01 23:16:44 EDT 2015	27.975503,-82.393032
@date_134139	今日ミリ残し多すぎ いいもんプリン食べるもん(💢'ω') http://t.co/6cD7g0cYs3	Fri May 01 23:16:45 EDT 2015	37.475656,138.834394
@andreagenneli	Nakakasawa na sa bahay. Stupid little fights everyday! 😷👎	Fri May 01 23:16:46 EDT 2015	14.831656,120.907656
@Space__Trucker	@MGlantzman @stephxnie_ann @Space__Trucker just got home from Lansing in my dad truck	Fri May 01 23:16:48 EDT 2015	42.932374,-85.680838
@JasminMari	Puerto Galera at the end of may. Haha	Fri May 01 23:16:51 EDT 2015	14.584087,121.03857
@succubus0122	髪色が紫とかでもゆずソフトの絵とかは可愛く見えるんだよな	Fri May 01 23:16:53 EDT 2015	35.630377,139.89455
@joshsquire	ready for the weekend ✌️ @ Makapu'u Beach Park https://t.co/6r1TOyLFgZ	Fri May 01 23:16:58 EDT 2015	21.312579,-157.661119
@fliptravelsTWIT	Tasmanian Autumn.  #tasmania #launceston #southernhemisphere #travel #traveler #pinoytraveler… https://t.co/0yCwk9ba9u	Fri May 01 23:17:10 EDT 2015	-41.45,147.167
@thegaiteriffic	@phoebstersx @jemofoo na ligo ta karon na!	Fri May 01 23:17:11 EDT 2015	10.341897,123.918451
@Raychulschneids	My people. #seniorsendoff #lasthoorah #classof215 @ Hoover Park https://t.co/ZJCy8xyTXw	Fri May 01 23:17:14 EDT 2015	40.877793,-81.370484
@barbiee_blazee	I love you, but i hate you🙏	Fri May 01 23:17:18 EDT 2015	25.927519,-97.442999
@marionjames05	Good life. good food. @ San Juan Surf Resort https://t.co/O6DVBbOXYn	Fri May 01 23:17:18 EDT 2015	16.65698,120.320183
@chuzugalde	Sad girl ✨ http://t.co/r98BnLWJgs	Fri May 01 23:17:25 EDT 2015	9.999127,-84.264723
@iZzzmii	Gua dadakan mey tadinya hari ini ama wulan amy tpi tbrb temen gua maksa-_- "@meyrianalbakir: Parah parah parah parah bgt ga ngajak kemaren	Fri May 01 23:17:27 EDT 2015	-6.315759,106.838167
@TamiiWilliams1	Con vos mi alma se volvió a iluminar! Si no fuera porque vos estás... yo no estaría acá!	Fri May 01 23:17:27 EDT 2015	-38.957418,-68.225606
@Ataideanto	Ganas de nada u.u	Fri May 01 23:17:29 EDT 2015	-42.044657,-71.171389
@DevynMiller	@DaltonRicker hair on fleek	Fri May 01 23:17:30 EDT 2015	31.197384,-81.376986
@fksmalu	Mc shockkkk ♥	Fri May 01 23:17:38 EDT 2015	-22.908821,-43.096499
@rahmaftrni	I 🏊🏊 (with Subahan at Gelanggang Hasanuddin Banjarmasin) — https://t.co/8zxquLC0HT	Fri May 01 23:17:41 EDT 2015	-3.32312,114.60674
@vbv_XBL	@panicthdisco falo das suas coisas	Fri May 01 23:17:44 EDT 2015	-30.052759,-51.010609
@_fernandaq	We're just trying to find some color in this black and white world ❤️ @ Hello Party https://t.co/2wrU1DLlnx	Fri May 01 23:17:44 EDT 2015	-23.933023,-46.331129
@gun_zlinger	เสื้อหม้อห้อมทำให้คุณดูอ่อนเยาว์ลง 12 ปี ภายใน 1 สัปดาห์ #เกี่ยวไหม #HowOldRobot #สงกรานต์ณน่าน… https://t.co/ileRw3yTju	Fri May 01 23:17:46 EDT 2015	13.75395,100.50224
@camiiconstanz	Increíble , pero hoy no salgo . Buuu	Fri May 01 23:17:47 EDT 2015	-34.959479,-57.965831
@Xiaoxuan07	I'm at Foong Foong Yong Tau Foo (鸿鸿安邦酿豆腐) in Ampang, Selangor https://t.co/nXI32R3fxh	Fri May 01 23:17:49 EDT 2015	3.144458,101.763418
@ci_pret	Belajar itu bisa di mana aja, caranya juga bisa macem-macem. Misalnya, dateng ke kelas gratisannya @akademiberbagi :D	Fri May 01 23:17:53 EDT 2015	-6.244514,107.037338
@Waafiyy	Ayuh pai pukul sama dia 💪 muay thai (@ Kompleks Belia & Sukan Persekutuan in Kota Kinabalu, Sabah) https://t.co/v1RWvQfpsf	Fri May 01 23:17:53 EDT 2015	5.897462,116.041444
@guidormerai	que sono...	Fri May 01 23:18:05 EDT 2015	-22.838333,-43.299137
@garro_florencia	Colicos Y LGCDTM .- :C	Fri May 01 23:18:14 EDT 2015	-31.466493,-64.203418
@DavidEble	Hospital Authority awards City grant for new 311 MWC Mobile App System | City of Midwest City http://t.co/lO7oiuqaoe	Fri May 01 23:18:17 EDT 2015	35.44058,-97.365232
@slpvitoria	To fazendo balada particular em casa tuts tuts tuts #TomorrowlandNaMTV	Fri May 01 23:18:19 EDT 2015	-23.619587,-46.583012
@fatmalamri561	#HBD_shams ليث أبو جودة شمس أبو جودة وووووووووووو	Fri May 01 23:18:22 EDT 2015	16.986533,54.6972
@waodenhini	Liburan anak sanggar ceritanya👏😁🎉💃🎵🙆 (with tanty, Gustiano, and Wd at Grand Mode Cendrawasih) [pic] — https://t.co/pBZ42voCHX	Fri May 01 23:18:22 EDT 2015	-5.17688,119.41011
@Alissonlisboa9	Saudades de mtts pessoas	Fri May 01 23:18:23 EDT 2015	-29.987217,-51.050363
@alfinachairani	Okay hari ini ditinggal terus👌 ♫ Kamu Yang Kutunggu (with Afgan) by Rossa (at Jl Tanjung 11 Kranggan Permai) — https://t.co/P1enBFg3FQ	Fri May 01 23:18:26 EDT 2015	-6.36674,106.91531
@AlezhitoHSR	Que embole !	Fri May 01 23:18:34 EDT 2015	-34.627331,-68.294784
@LaMonaDeLaRadio	*** Tan colombiana que después de dos cervezas se antoja de almojábana. ***	Fri May 01 23:18:35 EDT 2015	4.577953,-74.100607
@alantarin	Hate being in a bad. Like, I can't even hide it if I try.	Fri May 01 23:18:39 EDT 2015	35.658864,-97.476507
@nicoreyna98	Empezando la noche con maggi @ San Telmo - Bs.As. https://t.co/UAvqIlpd4v	Fri May 01 23:18:41 EDT 2015	-34.616023,-58.371334
@FortesHewerton	So rindo msm Kkk	Fri May 01 23:18:44 EDT 2015	-22.609286,-42.000903
@briian1617	Mg como escribi mi nombre en tw 😊😊	Fri May 01 23:18:45 EDT 2015	-54.505586,-67.195872
@0408Marin	@mitsuki_mm いってるんやぁヾ(＠⌒ー⌒＠)ノ	Fri May 01 23:18:47 EDT 2015	34.077289,134.390814
@miluchita88	JAJAJAJAJAJAJAJA me amenaza para tiemblo del miedo me das risa flaco	Fri May 01 23:18:50 EDT 2015	-34.618027,-58.524696
@chkrammm	⛪️ @ โบสถ์คาทอลิกวัดแม่พระปฏิสนธินิรมล https://t.co/rt554Jgxu6	Fri May 01 23:18:52 EDT 2015	12.609035,102.118519
@awiensyerin	Terimas adek manis edast melayan kerenah kami berdua 😝 @ Butik Edast https://t.co/lCCxxM2EHY	Fri May 01 23:18:57 EDT 2015	3.057494,101.490867
@Marindanibunga	🙏😹😝🙌✌ @ Goa Kreo Semarang https://t.co/aipemuhzbz	Fri May 01 23:18:57 EDT 2015	-7.038757,110.350381
@WDCareers	#FORTMYERS, FL #Retail #Job: Cake Decorator at Winn Dixie http://t.co/K9gmcOK2xC #Jobs #Hiring #TweetMyJobs	Fri May 01 23:19:01 EDT 2015	26.711415,-81.718745
@RyanTrakinado	@TheStarFcs_kkk quer mesmo o Gabriel	Fri May 01 23:19:01 EDT 2015	-23.474369,-46.577456
@John_Stracener	And Winnipeg.	Fri May 01 23:19:02 EDT 2015	39.830673,-84.841007
@diego__cardozo	Love and sex	Fri May 01 23:19:02 EDT 2015	-34.706505,-55.964566
@kazumyi1979	I'm at ベストアメニティスタジアム in 鳥栖市, 佐賀県 w/ @cimmy428 https://t.co/xsIyE5ypJp	Fri May 01 23:19:04 EDT 2015	33.371709,130.520148
@dekallan	@ditawahyuarum @balenno yap dit,..kesono pada mau kagak.	Fri May 01 23:19:06 EDT 2015	-7.82039,110.379096
@praewa22	@mymildswl (@ ลัดดารมย์ ราชพฤกษ์-รัตนาธิเบศร์ in อ.บางบัวทอง, จ.นนทบุรี) https://t.co/VhVrLNsesI	Fri May 01 23:19:06 EDT 2015	13.888575,100.447474
@Nizard_Bdl	J'commence a avoir faim	Fri May 01 23:19:15 EDT 2015	48.83112,2.626263
@Hadusio	เบื่อๆ มาเดินเล่นแปบ ;) (@ ตลาดปัฐวิกรณ์ (Patthawikon Market) in Bueng Kum, Bangkok) https://t.co/lWs2JrRBPe	Fri May 01 23:19:18 EDT 2015	13.812582,100.652077
@JodidoChriis	Siento que hasta la muerte a tu lado seria mas hermosa	Fri May 01 23:19:19 EDT 2015	-31.417877,-64.194495
@KCSportsNerd	@SportingKC @MattBesler @gzusi @Ddwyer14 On the radio they said ketchup and relish beat the hell out of each other.	Fri May 01 23:19:19 EDT 2015	34.11558,-118.245755
@facundorippel	Por las noches en casa, cuando voy a mi cama, extraño tu ser	Fri May 01 23:19:23 EDT 2015	-36.774458,-59.855594
@Calii_Kid323	Bout 20min Ppl🎥🎬🔥... #(Link Will Be In Bio) 👌 @ 👣👣👣 @jazzellesworld https://t.co/4YmjzgI9QP	Fri May 01 23:19:28 EDT 2015	41.549124,-87.355986
@gabbymaschip	The funny thing is that there's nothing funny	Fri May 01 23:19:33 EDT 2015	11.685977,-70.172572
@bturnerphoto5	3.4K !!! How soon can we get to 4K!?!? Building a brand is tough and rewarding. And I'll take any… https://t.co/SDj3ObYWB1	Fri May 01 23:19:35 EDT 2015	42.454498,-83.446892
@hpbass	I'm at @Jockey_Plaza in Lima https://t.co/lctMrtGtQE	Fri May 01 23:19:35 EDT 2015	-12.085999,-76.977071
@keika2000117	@1211xxHy  ファボありがとう☺ http://t.co/xmRm7FXi17	Fri May 01 23:19:40 EDT 2015	32.981786,132.899326
@PriisSaavedra	Lluvia + 3MSC + Pochoclos	Fri May 01 23:19:43 EDT 2015	-34.444024,-58.732218
@lublu_maki	Замкнутый круг-устал, нужно отдохнуть,отдыхая начинаешь переживать,что не делаешь ничего полезного.В итоге и не отдохул, и не поработал.	Fri May 01 23:19:45 EDT 2015	55.02362,82.897931
@lisakaysolomon	@designmba C6 cohort: Excited to see you crush it tomorrow night @CACollegeofArts Venture show!	Fri May 01 23:19:57 EDT 2015	37.436438,-122.195048
@elpablinfer	El siempre saca un tema ping pong es un genio!	Fri May 01 23:20:00 EDT 2015	-34.737421,-58.433819
@MarcoHaros30	@kiana_3 😂😘	Fri May 01 23:20:06 EDT 2015	30.265945,-97.689861
@PetrBlecha	With Raja (RuPaul drag race royalty) at Gala party in NY:) @ Times Square NYC https://t.co/MlF1yk3BSK	Fri May 01 23:20:08 EDT 2015	40.758895,-73.985131
@xxxstaw_p	เปิดช่วงสอบนะคะ ถึงห้าโมงเย็น (@ ห้องสมุด คณะวิทยาศาสตร์ in สุเทพ, จ.เชียงใหม่) https://t.co/9SwyNn4u86	Fri May 01 23:20:10 EDT 2015	18.80145,98.953373
@Natcha_Nn	I'm at KFC (เคเอฟซี) - @kfcth in Bang Phlat, Bangkok w/ @jjidahxrzn https://t.co/zlrJuAubjv http://t.co/ggTzasuXCy	Fri May 01 23:20:12 EDT 2015	13.778442,100.477428
@mshajahere	Hm takpe la haja. Lain kali kan boleh. Kau melenting tak tentu pasal, bukan dapat ape pun.	Fri May 01 23:20:23 EDT 2015	1.47984,103.945229
@zhouyou76	着きました。 @ Onomichi Station https://t.co/NNXRmsubbC	Fri May 01 23:20:24 EDT 2015	34.4047,133.1927
@luisger	#whpemptyspaces #ighouston #conquer_htx @ Miller Outdoor Theatre https://t.co/YdQfpTfuH1	Fri May 01 23:20:26 EDT 2015	29.719675,-95.388936
@Soliant_AdvPrac	Soliant Health: Psych Nurse Practitioner part time position in Charlotte, NC (#Charlotte, NC) http://t.co/WXwmMTEUBH #Nursing #Job #Jobs	Fri May 01 23:20:32 EDT 2015	35.227087,-80.843127
@trendinaliaSG	6. music bank 7. pm lee 8. leeteuk 9. Amos Yee 10. Unfriended  2015/5/2 11:18 SGT #trndnl http://t.co/psP0GzBgZB	Fri May 01 23:20:34 EDT 2015	1.3656,103.8277
@Maremejia4	La consentida reina mía Maria isabel 😻 👑 👶 http://t.co/sNVSkwwI0R	Fri May 01 23:20:35 EDT 2015	11.424953,-73.067712
@HafizhQuran_T7	Ustad deden memberikan motivasi untuk adik-adik hafizh yogyakarta http://t.co/daNQ2WAurc	Fri May 01 23:20:36 EDT 2015	-7.785455,110.367247
@crisdebona_	😘🍻🍺 @ Maravilha, Santa Catarina https://t.co/XPFXegyQu2	Fri May 01 23:20:38 EDT 2015	-26.7833,-53.15
@IsabellaWh123	Vou dormir, melhor que eu faço 😒👊	Fri May 01 23:20:50 EDT 2015	-22.973518,-43.332065
@TiziBoca	Ahh naaa que no llueva mañana😱🙏🙏🙏🙏	Fri May 01 23:20:58 EDT 2015	-36.984759,-57.145219
@Blacksan	I'm at 秋葉原駅 (Akihabara Sta.) - @jreast_official in 千代田区, 東京都 https://t.co/LH3vYI2N7O	Fri May 01 23:21:03 EDT 2015	35.698596,139.773018
@mohdzyz	Projects, papers, lab reports, and final exams 💃  #VscoNY #VSCOcam #IneedAbreak @ Fresco gelateria https://t.co/I5X08nm66M	Fri May 01 23:21:05 EDT 2015	40.728868,-73.987353
@Grace_Canales	Super cansada.....Buenas noches gente, descansen.  Zzzzzz	Fri May 01 23:21:06 EDT 2015	12.06505,-86.184324
@HarzanZahari	"Destinasi ku tetap sama dengan kelajuan" @ depan rumah https://t.co/PrWslsEtbB	Fri May 01 23:21:10 EDT 2015	3.091366,101.712344
@FahiraAnggrn	🙎🙎🙎🙇🙇🙇🙇🙇 (at Universitas 17 Agustus Surabaya) — https://t.co/RNnWBEL2dC	Fri May 01 23:21:14 EDT 2015	-7.30326,112.76531
@Caroline_Reed7	Loved watching my bestie kick hat tonight 😜👯💕 @ Spring Show https://t.co/e4iPyUsdqa	Fri May 01 23:21:16 EDT 2015	29.543029,-95.055504
@A7mad_alB	Bk 2 q8 😩 (@ Al'Blooshi Residence) https://t.co/1GWhrdPSh3	Fri May 01 23:21:26 EDT 2015	29.300771,47.808165
@SolvoSempra	Sucks to realize that some people were holding you back all these years. Now that Ive let go I no longer feel stagnant, lets get creative.	Fri May 01 23:21:32 EDT 2015	34.101704,-118.32913
@ManoShoot	Sem desmerecer os outros djs, mas não existe da galera tá desanimada, existe dj que nao sabe animar a galera, olha a diferença com hardwell	Fri May 01 23:21:32 EDT 2015	-3.766586,-38.597951
@93Ultras	@miyloves2 今日はチケットかなり売れてるみたいだから混んでるだろうな！	Fri May 01 23:21:38 EDT 2015	35.845353,139.77893
@Argifaika	With mama at toko citra 2 dijln arif rate — https://t.co/zcyxiWzL6d	Fri May 01 23:21:38 EDT 2015	-5.14452,119.41328
@Nyzzahamid	👰🏼 (@ Beaconhouse Jalan Gasing in Selangor) https://t.co/0Z9wPUB0tA http://t.co/Zsr7rJman8	Fri May 01 23:21:43 EDT 2015	3.087809,101.66255
@ScottHaggai	Having fun at the Padres game! #FiestaPadres http://t.co/OFqKLES7fF	Fri May 01 23:21:44 EDT 2015	32.707263,-117.157579
@Umafaridha	Pulling facial @ 🌸🌸 https://t.co/EfOVRLB7c5	Fri May 01 23:21:45 EDT 2015	-7.761197,110.405781
@TheRealKyleBas	Fireworks after the game from McKinsey's office 😩🙌 @ 5 Houston Center https://t.co/dK2wifQZUs	Fri May 01 23:21:47 EDT 2015	29.754987,-95.360752
@_SaLonePrincess	Silent girl😭😭	Fri May 01 23:21:50 EDT 2015	29.692104,-95.730499
@sami_polly	I spent tonight with my bestfriend, some sparklers,plus some awesome people and now I can't wait till… https://t.co/LCiJwbGZln	Fri May 01 23:21:59 EDT 2015	33.206109,-97.131054
@ballotellli	Alone	Fri May 01 23:22:02 EDT 2015	41.217355,-8.550136
@MaaleeConde	Estamos hablando desde el fb del nejro. Spagna esta siempre metido en las conversaciones	Fri May 01 23:22:04 EDT 2015	-34.569989,-58.576625
@avvesome	I'm at อาคารวรรณสรณ์ (Wannasorn Tower) in Ratchathewi, Bangkok w/ @yamyaim https://t.co/h2zB1GQdcc	Fri May 01 23:22:04 EDT 2015	13.758092,100.534859
@leen_mendoza	I may not be the perfect one for you. But I will always try to be the right one. http://t.co/iCCXZHMsA7	Fri May 01 23:22:07 EDT 2015	15.093797,120.793593
@casshenrique	revolver, the white album, e sgt. Pepper's lonely hearts club band... melhores albuns da historia, serio. Nao tem melhor que isso, foi mal	Fri May 01 23:22:24 EDT 2015	-23.661311,-46.669056
@silviarhm	Day1😁💪 @ Fitness First Platinum Kemang Village https://t.co/U5JvBt2O6r	Fri May 01 23:22:24 EDT 2015	-6.260932,106.812006
@GiSelleKendall	I'm at Liverpool in Villahermosa, TAB w/ @geraldinee20 https://t.co/sRk5Gpt2aD	Fri May 01 23:22:40 EDT 2015	17.967204,-92.941684
@denglennon	@BearsActHuman   Awesome stuff. http://t.co/BqiqOdfLIR	Fri May 01 23:22:43 EDT 2015	41.068878,-74.165093
@JackelynMarie88	http://t.co/JWcOoA2m6x	Fri May 01 23:22:46 EDT 2015	42.440182,-87.822922
